label,Codmun
Retalhuleu-Retalhuleu,1101
San Sebastián-Retalhuleu,1102
Santa Cruz Muluá-Retalhuleu,1103
San Martín Zapotitlán-Retalhuleu,1104
San Felipe-Retalhuleu,1105
San Andrés Villa Seca-Retalhuleu,1106
Champerico-Retalhuleu,1107
Nuevo San Carlos-Retalhuleu,1108
El Asintal-Retalhuleu,1109
San Marcos-San Marcos,1201
San Pedro Sacatepéquez-San Marcos,1202
San Antonio Sacatepéquez-San Marcos,1203
Comitancillo-San Marcos,1204
San Miguel Ixtahuacán-San Marcos,1205
Concepción Tutuapa-San Marcos,1206
Tacaná-San Marcos,1207
Sibinal-San Marcos,1208
Tajumulco-San Marcos,1209
Tejutla-San Marcos,1210
San Rafael Pie de la Cuesta-San Marcos,1211
Nuevo Progreso-San Marcos,1212
El Tumbador-San Marcos,1213
El Rodeo-San Marcos,1214
Malacatán-San Marcos,1215
Catarina-San Marcos,1216
Ayutla-San Marcos,1217
Ocós-San Marcos,1218
San Pablo-San Marcos,1219
El Quetzal-San Marcos,1220
La Reforma-San Marcos,1221
Pajapita-San Marcos,1222
Ixchiguán-San Marcos,1223
San José Ojetenam-San Marcos,1224
San Cristóbal Cucho-San Marcos,1225
Sipacapa-San Marcos,1226
Esquipulas Palo Gordo-San Marcos,1227
Río Blanco-San Marcos,1228
San Lorenzo-San Marcos,1229
La Blanca-San Marcos,1230
Huehuetenango-Huehuetenango,1301
Chiantla-Huehuetenango,1302
Malacatancito-Huehuetenango,1303
Cuilco-Huehuetenango,1304
Nentón-Huehuetenango,1305
San Pedro Necta-Huehuetenango,1306
Jacaltenango-Huehuetenango,1307
Soloma-Huehuetenango,1308
Ixtahuacán-Huehuetenango,1309
Santa Bárbara-Huehuetenango,1310
La Libertad-Huehuetenango,1311
La Democracia-Huehuetenango,1312
San Miguel Acatán-Huehuetenango,1313
San Rafael La Independencia-Huehuetenango,1314
Todos Santos Cuchumatán-Huehuetenango,1315
San Juan Atitán-Huehuetenango,1316
Santa Eulalia-Huehuetenango,1317
San Mateo Ixtatán-Huehuetenango,1318
Colotenango-Huehuetenango,1319
San Sebastián Huehuetenango-Huehuetenango,1320
Tectitán-Huehuetenango,1321
Concepción Huista-Huehuetenango,1322
San Juan Ixcoy-Huehuetenango,1323
San Antonio Huista-Huehuetenango,1324
San Sebastián Coatán-Huehuetenango,1325
Barillas-Huehuetenango,1326
Aguacatán-Huehuetenango,1327
San Rafael Petzal-Huehuetenango,1328
San Gaspar Ixchil-Huehuetenango,1329
Santiago Chimaltenango-Huehuetenango,1330
Santa Ana Huista-Huehuetenango,1331
Unión Cantinil-Huehuetenango,1332
Petatán-Huehuetenango,1333
Santa Cruz del Quiché-Quiché,1401
Chiché-Quiché,1402
Chinique-Quiché,1403
Zacualpa-Quiché,1404
Chajul-Quiché,1405
Chichicastenango-Quiché,1406
Patzité-Quiché,1407
San Antonio Ilotenango-Quiché,1408
San Pedro Jocopilas-Quiché,1409
Cunén-Quiché,1410
San Juan Cotzal-Quiché,1411
Joyabaj-Quiché,1412
Nebaj-Quiché,1413
San Andrés Sajcabajá-Quiché,1414
Uspantán-Quiché,1415
Sacapulas-Quiché,1416
San Bartolomé Jocotenango-Quiché,1417
Canillá-Quiché,1418
Chicamán-Quiché,1419
Ixcán-Quiché,1420
Pachalum-Quiché,1421
Salamá-Baja Verapaz,1501
San Miguel Chicaj-Baja Verapaz,1502
Rabinal-Baja Verapaz,1503
Cubulco-Baja Verapaz,1504
Granados-Baja Verapaz,1505
El Chol-Baja Verapaz,1506
San Jerónimo-Baja Verapaz,1507
Purulhá-Baja Verapaz,1508
Cobán-Alta Verapaz,1601
Santa Cruz Verapaz-Alta Verapaz,1602
San Cristóbal Verapaz-Alta Verapaz,1603
Tactic-Alta Verapaz,1604
Tamahú-Alta Verapaz,1605
Tucurú-Alta Verapaz,1606
Panzós-Alta Verapaz,1607
Senahú-Alta Verapaz,1608
San Pedro Carchá-Alta Verapaz,1609
San Juan Chamelco-Alta Verapaz,1610
Lanquín-Alta Verapaz,1611
Cahabón-Alta Verapaz,1612
Chisec-Alta Verapaz,1613
Chahal-Alta Verapaz,1614
Fray Bartolomé de Las Casas-Alta Verapaz,1615
Santa Catalina La Tinta-Alta Verapaz,1616
Raxruhá-Alta Verapaz,1617
Flores-Petén,1701
San José-Petén,1702
San Benito-Petén,1703
San Andrés-Petén,1704
La Libertad-Petén,1705
San Francisco-Petén,1706
Santa Ana-Petén,1707
Dolores-Petén,1708
San Luis-Petén,1709
Sayaxché-Petén,1710
Melchor de Mencos-Petén,1711
Poptún-Petén,1712
Las Cruces-Petén,1713
El Chal-Petén,1714
Puerto Barrios-Izabal,1801
Lívingston-Izabal,1802
El Estor-Izabal,1803
Morales-Izabal,1804
Los Amates-Izabal,1805
Zacapa-Zacapa,1901
Estanzuela-Zacapa,1902
Río Hondo-Zacapa,1903
Gualán-Zacapa,1904
Teculután-Zacapa,1905
Usumatlán-Zacapa,1906
Cabañas-Zacapa,1907
San Diego-Zacapa,1908
La Unión-Zacapa,1909
Huité-Zacapa,1910
San Jorge-Zacapa,1911
Chiquimula-Chiquimula,2001
San José La Arada-Chiquimula,2002
San Juan Ermita-Chiquimula,2003
Jocotán-Chiquimula,2004
Camotán-Chiquimula,2005
Olopa-Chiquimula,2006
Esquipulas-Chiquimula,2007
Concepción Las Minas-Chiquimula,2008
Quezaltepeque-Chiquimula,2009
San Jacinto-Chiquimula,2010
Ipala-Chiquimula,2011
Jalapa-Jalapa,2101
San Pedro Pinula-Jalapa,2102
San Luis Jilotepeque-Jalapa,2103
San Manuel Chaparrón-Jalapa,2104
San Carlos Alzatate-Jalapa,2105
Monjas-Jalapa,2106
Mataquescuintla-Jalapa,2107
Jutiapa-Jutiapa,2201
El Progreso-Jutiapa,2202
Santa Catarina Mita-Jutiapa,2203
Agua Blanca-Jutiapa,2204
Asunción Mita-Jutiapa,2205
Yupiltepeque-Jutiapa,2206
Atescatempa-Jutiapa,2207
Jerez-Jutiapa,2208
El Adelanto-Jutiapa,2209
Zapotitlán-Jutiapa,2210
Comapa-Jutiapa,2211
Jalpatagua-Jutiapa,2212
Conguaco-Jutiapa,2213
Moyuta-Jutiapa,2214
Pasaco-Jutiapa,2215
San José Acatempa-Jutiapa,2216
Quesada-Jutiapa,2217
LA CEIBA-ATLÁNTIDA,101
EL PORVENIR-ATLÁNTIDA,102
ESPARTA-ATLÁNTIDA,103
JUTIAPA-ATLÁNTIDA,104
LA MASICA-ATLÁNTIDA,105
SAN FRANCISCO-ATLÁNTIDA,106
TELA-ATLÁNTIDA,107
ARIZONA-ATLÁNTIDA,108
TRUJILLO-COLON,201
BALFATE-COLON,202
IRIONA-COLON,203
LIMÓN-COLON,204
SABA-COLON,205
SANTA FE-COLON,205
SANTA FE-COLON,206
SANTA ROSA DE AGU N-COLON,206
SONAGUERA-COLON,207
SABA-COLON,208
SONAGUERA-COLON,208
TOCOA-COLON,209
BONITO ORIENTAL-COLON,210
COMAYAGUA-COMAYAGUA,301
AJUTERIQUE-COMAYAGUA,302
EL ROSARIO-COMAYAGUA,303
ESQUÍAS-COMAYAGUA,304
HUMUYA-COMAYAGUA,305
LA LIBERTAD-COMAYAGUA,306
LAMANÍ-COMAYAGUA,307
LA TRINIDAD-COMAYAGUA,308
LEJAMANÍ-COMAYAGUA,309
MEÁMBAR-COMAYAGUA,310
MINAS DE ORO-COMAYAGUA,311
OJOS DE AGUA-COMAYAGUA,312
SAN JERÓNIMO-COMAYAGUA,313
SAN JOSÉ DE COMAYAGUA-COMAYAGUA,314
SAN JOSÉ DEL POTRERO-COMAYAGUA,315
SAN LUIS-COMAYAGUA,316
SAN SEBASTIÁN-COMAYAGUA,317
SIGUATEPEQUE-COMAYAGUA,318
VILLA DE SAN ANTONIO-COMAYAGUA,319
LAS LAJAS-COMAYAGUA,320
TAULABÉ-COMAYAGUA,321
Santa Rosa de Copan-COPAN,401
SANTA ROSA DE COPÁN-COPAN,401
CABAÑAS-COPAN,402
CONCEPCIÓN-COPAN,403
COPÁN RUINAS-COPAN,404
CORQUÍN-COPAN,405
CUCUYAGUA-COPAN,406
DOLORES-COPAN,407
DULCE NOMBRE-COPAN,408
EL PARAÍSO-COPAN,409
FLORIDA-COPAN,410
LA JIGUA-COPAN,411
LA UNIÓN-COPAN,412
NUEVA ARCADIA-COPAN,413
SAN AGUSTÍN-COPAN,414
SAN ANTONIO-COPAN,415
SAN JERÓNIMO-COPAN,416
SAN JOSÉ-COPAN,417
SAN JUAN DE OPOA-COPAN,418
San Nicolas-COPAN,419
SAN NICOLÁS-COPAN,419
SAN PEDRO-COPAN,420
SANTA RITA-COPAN,421
TRINIDAD DE COPÁN-COPAN,422
VERACRUZ-COPAN,423
SAN PEDRO SULA-CORTES,501
CHOLOMA-CORTES,502
OMOA-CORTES,503
PIMIENTA-CORTES,504
POTRERILLOS-CORTES,505
PUERTO CORTÉS-CORTES,506
SAN ANTONIO DE CORTÉS-CORTES,507
SAN FRANCISCO DE YOJOA-CORTES,508
SAN MANUEL-CORTES,509
SANTA CRUZ DE YOJOA-CORTES,510
VILLANUEVA-CORTES,511
LA LIMA-CORTES,512
CHOLUTECA-CHOLUTECA,601
APACILAGUA-CHOLUTECA,602
CONCEPCIÓN DE MARIA-CHOLUTECA,603
DUYURE-CHOLUTECA,604
EL CORPUS-CHOLUTECA,605
EL TRIUNFO-CHOLUTECA,606
MARCOVIA-CHOLUTECA,607
MOROLICA-CHOLUTECA,608
NAMASIGUE-CHOLUTECA,609
OROCUINA-CHOLUTECA,610
PESPIRE-CHOLUTECA,611
SAN ANTONIO DE FLORES-CHOLUTECA,612
SAN ISIDRO-CHOLUTECA,613
SAN JOSÉ-CHOLUTECA,614
SAN MARCOS DE COLON-CHOLUTECA,615
SANTA ANA DE YUSGUARE-CHOLUTECA,616
YUSCARÁN-EL PARAÍSO,701
ALAUCA-EL PARAÍSO,702
DANLÍ-EL PARAÍSO,703
EL PARAÍSO-EL PARAÍSO,704
GUINOPE-EL PARAÍSO,705
JACALEAPA-EL PARAÍSO,706
LIURE-EL PARAÍSO,707
MOROCELÍ-EL PARAÍSO,708
OROPOLÍ-EL PARAÍSO,709
POTRERILLOS-EL PARAÍSO,710
SAN ANTONIO DE FLORES-EL PARAÍSO,711
SAN LUCAS-EL PARAÍSO,712
SAN MATÍAS-EL PARAÍSO,713
SOLEDAD-EL PARAÍSO,714
TEUPASENTI-EL PARAÍSO,715
TEXIGUAT-EL PARAÍSO,716
VADO ANCHO-EL PARAÍSO,717
YAUYUPE-EL PARAÍSO,718
TROJES-EL PARAÍSO,719
DISTRITO CENTRAL-FRANCISCO MORAZÁN,801
ALUBAREN-FRANCISCO MORAZÁN,802
CEDROS-FRANCISCO MORAZÁN,803
CURARÉN-FRANCISCO MORAZÁN,804
EL PORVENIR-FRANCISCO MORAZÁN,805
GUAIMACA-FRANCISCO MORAZÁN,806
LA LIBERTAD-FRANCISCO MORAZÁN,807
LA VENTA-FRANCISCO MORAZÁN,808
LEPATERIQUE-FRANCISCO MORAZÁN,809
MARAITA-FRANCISCO MORAZÁN,810
MARALE-FRANCISCO MORAZÁN,811
NUEVA ARMENIA-FRANCISCO MORAZÁN,812
OJOJONA-FRANCISCO MORAZÁN,813
ORICA-FRANCISCO MORAZÁN,814
REITOCA-FRANCISCO MORAZÁN,815
SABANAGRANDE-FRANCISCO MORAZÁN,816
SAN ANTONIO DE ORIENTE-FRANCISCO MORAZÁN,817
SAN BUENAVENTURA-FRANCISCO MORAZÁN,818
SAN IGNACIO-FRANCISCO MORAZÁN,819
SAN JUAN DE FLORES-FRANCISCO MORAZÁN,820
SAN MIGUELITO-FRANCISCO MORAZÁN,821
SANTA ANA-FRANCISCO MORAZÁN,822
SANTA LUCÍA-FRANCISCO MORAZÁN,823
TALANGA-FRANCISCO MORAZÁN,824
TATUMBLA-FRANCISCO MORAZÁN,825
VALLE DE ANGELES-FRANCISCO MORAZÁN,826
VILLA DE SAN FRANCISCO-FRANCISCO MORAZÁN,827
VALLECILLO-FRANCISCO MORAZÁN,828
PUERTO LEMPIRA-GRACIAS A DIOS,901
BRUS LAGUNA-GRACIAS A DIOS,902
LA ESPERANZA-INTIBUCA,1001
CAMASCA-INTIBUCA,1002
COLOMONCAGUA-INTIBUCA,1003
CONCEPCIÓN-INTIBUCA,1004
DOLORES-INTIBUCA,1005
INTIBUCÁ-INTIBUCA,1006
JESÚS DE OTORO-INTIBUCA,1007
MAGDALENA-INTIBUCA,1008
MASAGUARA-INTIBUCA,1009
SAN ANTONIO-INTIBUCA,1010
SAN ISIDRO-INTIBUCA,1011
SAN JUAN-INTIBUCA,1012
SAN MARCOS DE LA SIERRA-INTIBUCA,1013
SAN MIGUELITO-INTIBUCA,1014
SANTA LUCÍA-INTIBUCA,1015
YAMARANGUILA-INTIBUCA,1016
SAN FRANCISCO DE OPALACA-INTIBUCA,1017
ROATÁN-ISLAS DE LA BAHÍA,1101
GUANAJA-ISLAS DE LA BAHÍA,1102
JOSÉ SANTOS GUARDIOLA-ISLAS DE LA BAHÍA,1103
UTILA-ISLAS DE LA BAHÍA,1104
LA PAZ-LA PAZ,1201
AGUANQUETERIQUE-LA PAZ,1202
CABAÑAS-LA PAZ,1203
CANE-LA PAZ,1204
CHINACLA-LA PAZ,1205
GUAJIQUIRO-LA PAZ,1206
LAUTERIQUE-LA PAZ,1207
MARCALA-LA PAZ,1208
MERCEDES DE ORIENTE-LA PAZ,1209
OPATORO-LA PAZ,1210
SAN ANTONIO DEL NORTE-LA PAZ,1211
SAN JOSÉ-LA PAZ,1212
SAN JUAN-LA PAZ,1213
SAN PEDRO DE TUTULE-LA PAZ,1214
SANTA ANA-LA PAZ,1215
SANTA ELENA-LA PAZ,1216
SANTA MARÍA-LA PAZ,1217
SANTIAGO DE PURINGLA-LA PAZ,1218
YARULA-LA PAZ,1219
GRACIAS-LEMPIRA,1301
BELÉN-LEMPIRA,1302
CANDELARIA-LEMPIRA,1303
COLOLACA-LEMPIRA,1304
ERANDIQUE-LEMPIRA,1305
GUALCINCE-LEMPIRA,1306
GUARITA-LEMPIRA,1307
LA CAMPA-LEMPIRA,1308
LA IGUALA-LEMPIRA,1309
LAS FLORES-LEMPIRA,1310
LA UNIÓN-LEMPIRA,1311
LA VIRTUD-LEMPIRA,1312
LEPAERA-LEMPIRA,1313
MAPULACA-LEMPIRA,1314
PIRAERA-LEMPIRA,1315
SAN ANDRÉS-LEMPIRA,1316
SAN FRANCISCO-LEMPIRA,1317
SAN JUAN GUARITA-LEMPIRA,1318
SAN MANUEL COLOHETE-LEMPIRA,1319
SAN RAFAEL-LEMPIRA,1320
SAN SEBASTIÁN-LEMPIRA,1321
SANTA CRUZ-LEMPIRA,1322
TALGUA-LEMPIRA,1323
TAMBLA-LEMPIRA,1324
TOMALÁ-LEMPIRA,1325
VALLADOLID-LEMPIRA,1326
VIRGINIA-LEMPIRA,1327
SAN MARCOS DE CAIQUÍN-LEMPIRA,1328
OCOTEPEQUE-OCOTEPEQUE,1401
BELÉN GUALCHO-OCOTEPEQUE,1402
CONCEPCIÓN-OCOTEPEQUE,1403
DOLORES MERENDÓN-OCOTEPEQUE,1404
FRATERNIDAD-OCOTEPEQUE,1405
LA ENCARNACIÓN-OCOTEPEQUE,1406
LA LABOR-OCOTEPEQUE,1407
LUCERNA-OCOTEPEQUE,1408
MERCEDES-OCOTEPEQUE,1409
SAN FERNANDO-OCOTEPEQUE,1410
SAN FRANCISCO DEL VALLE-OCOTEPEQUE,1411
SAN JORGE-OCOTEPEQUE,1412
SAN MARCOS-OCOTEPEQUE,1413
SANTA FE-OCOTEPEQUE,1414
SENSENTI-OCOTEPEQUE,1415
SINUAPA-OCOTEPEQUE,1416
JUTICALPA-OLANCHO,1501
Campamento-OLANCHO,1502
CATACAMAS-OLANCHO,1503
CONCORDIA-OLANCHO,1504
DULCE NOMBRE DE CULMÍ-OLANCHO,1505
EL ROSARIO-OLANCHO,1506
ESQUIPULAS DEL NORTE-OLANCHO,1507
GUALACO-OLANCHO,1508
GUARIZAMA-OLANCHO,1509
GUATA-OLANCHO,1510
GUAYAPE-OLANCHO,1511
JANO-OLANCHO,1512
LA UNIÓN-OLANCHO,1513
MANGULILE-OLANCHO,1514
MANTO-OLANCHO,1515
SALAMÁ-OLANCHO,1516
SAN ESTEBAN-OLANCHO,1517
SAN FRANCISCO DE BECERRA-OLANCHO,1518
SAN FRANCISCO DE LA PAZ-OLANCHO,1519
SANTA MARÍA DEL REAL-OLANCHO,1520
SILCA-OLANCHO,1521
YOCÓN-OLANCHO,1522
PATUCA-OLANCHO,1523
Santa Barbara-SANTA BARBARA,1601
SANTA BÁRBARA-SANTA BARBARA,1601
ARADA-SANTA BARBARA,1602
ATIMA-SANTA BARBARA,1603
AZACUALPA-SANTA BARBARA,1604
CEGUACA-SANTA BARBARA,1605
SAN JOSÉ DE COLINAS-SANTA BARBARA,1606
CONCEPCIÓN DEL NORTE-SANTA BARBARA,1607
CHINDA-SANTA BARBARA,1608
CONCEPCIÓN DEL SUR-SANTA BARBARA,1608
CHINDA-SANTA BARBARA,1609
EL NÍSPERO-SANTA BARBARA,1610
GUALALA-SANTA BARBARA,1610
GUALALA-SANTA BARBARA,1611
ILAMA-SANTA BARBARA,1611
ILAMA-SANTA BARBARA,1612
MACUELIZO-SANTA BARBARA,1612
MACUELIZO-SANTA BARBARA,1613
NARANJITO-SANTA BARBARA,1613
NARANJITO-SANTA BARBARA,1614
NUEVO CELILAC-SANTA BARBARA,1614
NUEVO CELILAC-SANTA BARBARA,1615
PETOA-SANTA BARBARA,1615
PETOA-SANTA BARBARA,1616
PROTECCIÓN-SANTA BARBARA,1617
Quimistan-SANTA BARBARA,1617
QUIMISTÁN-SANTA BARBARA,1618
SAN FRANCISCO DE OJUERA-SANTA BARBARA,1618
SAN FRANCISCO DE OJUERA-SANTA BARBARA,1619
San Jose de Colinas-SANTA BARBARA,1619
SAN LUIS-SANTA BARBARA,1620
SAN MARCOS-SANTA BARBARA,1621
SAN NICOLÁS-SANTA BARBARA,1622
SAN PEDRO ZACAPA-SANTA BARBARA,1623
SANTA RITA-SANTA BARBARA,1624
SAN VICENTE CENTENARIO-SANTA BARBARA,1625
SANTA RITA-SANTA BARBARA,1625
TRINIDAD-SANTA BARBARA,1626
LAS VEGAS-SANTA BARBARA,1627
NACAOME-VALLE,1701
ALIANZA-VALLE,1702
AMAPALA-VALLE,1703
ARAMECINA-VALLE,1704
CARIDAD-VALLE,1705
GOASCORÁN-VALLE,1706
LANGUE-VALLE,1707
SAN FRANCISCO DE CORAY-VALLE,1708
SAN LORENZO-VALLE,1709
YORO-YORO,1801
ARENAL-YORO,1802
EL NEGRITO-YORO,1803
EL PROGRESO-YORO,1804
JOCÓN-YORO,1805
Morazan-YORO,1806
MORAZÁN-YORO,1806
OLANCHITO-YORO,1807
SANTA RITA-YORO,1808
SULACO-YORO,1809
VICTORIA-YORO,1810
YORITO-YORO,1811
AHUACHAPAN NORTE-AHUACHAPAN,101
AHUACHAPAN CENTRO (CABECERA)-AHUACHAPAN,102
AHUACHAPAN SUR-AHUACHAPAN,103
SANTA ANA NORTE-SANTA ANA,202
SANTA ANA CENTRO (CABECERA)-SANTA ANA,203
SANTA ANA ESTE-SANTA ANA,204
SANTA ANA OESTE-SANTA ANA,207
SONSONATE NORTE-SONSONATE,301
SONSONATE CENTRO (CABECERA) -SONSONATE,302
SONSONATE ESTE-SONSONATE,303
SONSONATE OESTE-SONSONATE,304
CHALATENANGO NORTE-CHALATENANGO,401
CHALATENANGO CENTRO-CHALATENANGO,402
CHALATENANGO SUR (CABECERA)-CHALATENANGO,404
LIBERTAD NORTE-LA LIBERTAD,501
LIBERTAD CENTRO-LA LIBERTAD,502
LIBERTAD OESTE-LA LIBERTAD,503
LIBERTAD ESTE-LA LIBERTAD,504
LIBERTAD COSTA-LA LIBERTAD,505
LIBERTAD SUR (CABECERA)-LA LIBERTAD,506
SAN SALVADOR NORTE-SAN SALVADOR,601
SAN SALVADOR OESTE-SAN SALVADOR,602
SAN SALVADOR ESTE-SAN SALVADOR,603
SAN SALVADOR CENTRO (CABECERA)-SAN SALVADOR,604
SAN SALVADOR SUR-SAN SALVADOR,605
CUSCATLÁN NORTE-CUSCATLAN,701
CUSCATLÁN SUR (CABECERA)-CUSCATLAN,702
LA PAZ OESTE-LA PAZ,801
LA PAZ CENTRO-LA PAZ,802
LA PAZ ESTE (CABECERA)-LA PAZ,805
CABAÑAS ESTE (CABECERA)-CABANAS,902
CABAÑAS OESTE-CABANAS,903
SAN VICENTE NORTE-SAN VICENTE,1001
SAN VICENTE SUR (CABECERA)-SAN VICENTE,1002
USULUTÁN NORTE-USULUTAN,1101
USULUTÁN ESTE (CABECERA)-USULUTAN,1102
USULUTÁN OESTE-USULUTAN,1104
SAN MIGUEL NORTE-SAN MIGUEL,1201
SAN MIGUEL CENTRO (CABECERA)-SAN MIGUEL,1202
SAN MIGUEL OESTE-SAN MIGUEL,1203
MORAZÁN NORTE-MORAZAN,1301
MORAZÁN SUR (CABECERA)-MORAZAN,1302
LA UNIÓN NORTE-LA UNION,1401
LA UNIÓN SUR (CABECERA)-LA UNION,1402
Bocas del Toro-Bocas del Toro,101
Almirante-Bocas del Toro,102
Changuinola-Bocas del Toro,102
Chiriquí Grande-Bocas del Toro,103
Almirante-Bocas del Toro,104
Aguadulce-Coclé,201
Antón-Coclé,202
La Pintada-Coclé,203
Natá-Coclé,204
Olá-Coclé,205
Penonomé-Coclé,206
Colón-Colón,301
Chagres-Colón,302
Donoso-Colón,303
Portobelo-Colón,304
Santa Isabel-Colón,305
Omar Torrijos Herrera-Colón,306
Alanje-Chiriquí,401
Barú-Chiriquí,402
Boquerón-Chiriquí,403
Boquete-Chiriquí,404
Bugaba-Chiriquí,405
David-Chiriquí,406
Dolega-Chiriquí,407
Gualaca-Chiriquí,408
Remedios-Chiriquí,409
