label,Codmun
Guatemala-Guatemala,101
Santa Catarina Pinula-Guatemala,102
San José Pinula-Guatemala,103
San José del Golfo-Guatemala,104
Palencia-Guatemala,105
Chinautla-Guatemala,106
San Pedro Ayampuc-Guatemala,107
Mixco-Guatemala,108
San Pedro Sacatepéquez-Guatemala,109
San Juan Sacatepéquez-Guatemala,110
San Raimundo-Guatemala,111
Chuarrancho-Guatemala,112
Fraijanes-Guatemala,113
Amatitlán-Guatemala,114
Villa Nueva-Guatemala,115
Villa Canales-Guatemala,116
Petapa-Guatemala,117
Guastatoya-El Progreso,201
Morazán-El Progreso,202
San Agustín Acasaguastlán-El Progreso,203
San Cristóbal Acasaguastlán-El Progreso,204
El Jícaro-El Progreso,205
Sanarate-El Progreso,206
Sansare-El Progreso,207
San Antonio La Paz-El Progreso,208
Antigua Guatemala-Sacatepéquez,301
Jocotenango-Sacatepéquez,302
Pastores-Sacatepéquez,303
Sumpango-Sacatepéquez,304
Santo Domingo Xenacoj-Sacatepéquez,305
Santiago Sacatepéquez-Sacatepéquez,306
San Bartolomé Milpas Altas-Sacatepéquez,307
San Lucas Sacatepéquez-Sacatepéquez,308
Santa Lucía Milpas Altas-Sacatepéquez,309
Magdalena Milpas Altas-Sacatepéquez,310
Santa María de Jesús-Sacatepéquez,311
Ciudad Vieja-Sacatepéquez,312
San Miguel Dueñas-Sacatepéquez,313
Alotenango-Sacatepéquez,314
San Antonio Aguas Calientes-Sacatepéquez,315
Santa Catarina Barahona-Sacatepéquez,316
Chimaltenango-Chimaltenango,401
San José Poaquil-Chimaltenango,402
San Martín Jilotepeque-Chimaltenango,403
Comalapa-Chimaltenango,404
Santa Apolonia-Chimaltenango,405
Tecpán Guatemala-Chimaltenango,406
Patzún-Chimaltenango,407
Pochuta-Chimaltenango,408
Patzicía-Chimaltenango,409
Santa Cruz Balanyá-Chimaltenango,410
Acatenango-Chimaltenango,411
Yepocapa-Chimaltenango,412
San Andrés Itzapa-Chimaltenango,413
Parramos-Chimaltenango,414
Zaragoza-Chimaltenango,415
El Tejar-Chimaltenango,416
Escuintla-Escuintla,501
Santa Lucía Cotzumalguapa-Escuintla,502
La Democracia-Escuintla,503
Siquinalá-Escuintla,504
Masagua-Escuintla,505
Tiquisate-Escuintla,506
La Gomera-Escuintla,507
Guanagazapa-Escuintla,508
San José-Escuintla,509
Iztapa-Escuintla,510
Palín-Escuintla,511
San Vicente Pacaya-Escuintla,512
Nueva Concepción-Escuintla,513
Sipacate-Escuintla,514
Cuilapa-Santa Rosa,601
Barberena-Santa Rosa,602
Santa Rosa de Lima-Santa Rosa,603
Casillas-Santa Rosa,604
San Rafael Las Flores-Santa Rosa,605
Oratorio-Santa Rosa,606
San Juan Tecuaco-Santa Rosa,607
Chiquimulilla-Santa Rosa,608
Taxisco-Santa Rosa,609
Santa María Ixhuatán-Santa Rosa,610
Guazacapán-Santa Rosa,611
Santa Cruz Naranjo-Santa Rosa,612
Pueblo Nuevo Viñas-Santa Rosa,613
Nueva Santa Rosa-Santa Rosa,614
Lago Atitlán-Sololá,0
Sololá-Sololá,701
San José Chacayá-Sololá,702
Santa María Visitación-Sololá,703
Santa Lucía Utatlán-Sololá,704
Nahualá-Sololá,705
Santa Catarina Ixtahuacán-Sololá,706
Santa Clara La Laguna-Sololá,707
Concepción-Sololá,708
San Andrés Semetabaj-Sololá,709
Panajachel-Sololá,710
Santa Catarina Palopó-Sololá,711
San Antonio Palopó-Sololá,712
San Lucas Tolimán-Sololá,713
Santa Cruz La Laguna-Sololá,714
San Pablo La Laguna-Sololá,715
San Marcos La Laguna-Sololá,716
San Juan La Laguna-Sololá,717
San Pedro La Laguna-Sololá,718
Santiago Atitlán-Sololá,719
Totonicapán-Totonicapán,801
San Cristóbal Totonicapán-Totonicapán,802
San Francisco El Alto-Totonicapán,803
San Andrés Xecul-Totonicapán,804
Momostenango-Totonicapán,805
Santa María Chiquimula-Totonicapán,806
Santa Lucía La Reforma-Totonicapán,807
San Bartolo-Totonicapán,808
Quetzaltenango-Quetzaltenango,901
Salcajá-Quetzaltenango,902
Olintepeque-Quetzaltenango,903
San Carlos Sija-Quetzaltenango,904
Sibilia-Quetzaltenango,905
Cabricán-Quetzaltenango,906
Cajolá-Quetzaltenango,907
San Miguel Sigüila-Quetzaltenango,908
San Juan Ostuncalco-Quetzaltenango,909
San Mateo-Quetzaltenango,910
Concepción Chiquirichapa-Quetzaltenango,911
San Martín Sacatepéquez-Quetzaltenango,912
Almolonga-Quetzaltenango,913
Cantel-Quetzaltenango,914
Huitán-Quetzaltenango,915
Zunil-Quetzaltenango,916
Colomba-Quetzaltenango,917
San Francisco La Unión-Quetzaltenango,918
El Palmar-Quetzaltenango,919
Coatepeque-Quetzaltenango,920
Génova-Quetzaltenango,921
Flores Costa Cuca-Quetzaltenango,922
La Esperanza-Quetzaltenango,923
Palestina de Los Altos-Quetzaltenango,924
Mazatenango-Suchitepéquez,1001
Cuyotenango-Suchitepéquez,1002
San Francisco Zapotitlán-Suchitepéquez,1003
San Bernardino-Suchitepéquez,1004
San José El Ídolo-Suchitepéquez,1005
Santo Domingo Suchitepéquez-Suchitepéquez,1006
San Lorenzo-Suchitepéquez,1007
Samayac-Suchitepéquez,1008
San Pablo Jocopilas-Suchitepéquez,1009
San Antonio Suchitepéquez-Suchitepéquez,1010
San Miguel Panán-Suchitepéquez,1011
San Gabriel-Suchitepéquez,1012
Chicacao-Suchitepéquez,1013
Patulul-Suchitepéquez,1014
Santa Bárbara-Suchitepéquez,1015
San Juan Bautista-Suchitepéquez,1016
Santo Tomás La Unión-Suchitepéquez,1017
Zunilito-Suchitepéquez,1018
Pueblo Nuevo-Suchitepéquez,1019
Río Bravo-Suchitepéquez,1020
San José La Máquina-Suchitepéquez,1021
